quality_score,best_similarity,margin,label
27.075550079345703,0.5740582,0.41327834,1
15.17555809020996,0.44381028,0.22727585,1
20.051986694335938,0.5058117,0.31584117,1
16.64642906188965,0.3737293,0.07526809,1
19.913543701171875,0.53730005,0.3529412,1
15.088590621948242,0.3341771,0.08285472,1
19.53980255126953,0.75820965,0.57855964,1
30.68170166015625,0.41314083,0.099914074,1
21.923715591430664,0.39978856,0.1168243,1
14.86233139038086,0.7151052,0.54339796,1
27.620189666748047,0.7836943,0.6248813,1
18.302284240722656,0.6780753,0.48691365,1
33.891448974609375,0.6868405,0.4147938,1
18.02718734741211,0.5698362,0.36313736,1
38.14315032958984,0.6309185,0.37642244,1
16.729001998901367,0.6826717,0.43298846,1
26.100629806518555,0.69456077,0.5071806,1
29.42223739624023,0.6019857,0.36567086,1
28.763671875,0.6478992,0.4195331,1
17.529878616333008,0.707022,0.5219925,1
27.594482421875,0.76172376,0.4971016,1
13.637426376342772,0.664157,0.4944151,1
42.54117584228515,0.78408873,0.5109433,1
23.248443603515625,0.64436704,0.44363445,1
21.490367889404297,0.6607424,0.37436652,1
20.340843200683594,0.6156136,0.33827874,1
14.84856128692627,0.63734657,0.35661224,1
21.71518325805664,0.7295383,0.45679697,1
23.05586624145508,0.6863612,0.38014516,1
21.92248153686523,0.6013912,0.3375094,1
37.08992004394531,0.6618577,0.35962385,1
37.12599182128906,0.7268878,0.43357274,1
16.366384506225586,0.4843289,0.22559163,1
16.39078140258789,0.57028276,0.29654855,1
14.028985977172852,0.5273673,0.2626087,1
23.092077255249023,0.4952412,0.24695651,1
17.341917037963867,0.49574038,0.20274022,1
14.896953582763672,0.5777488,0.29700792,1
18.898895263671875,0.43658954,0.16527921,1
15.302001953125,0.4746955,0.21179569,1
14.075935363769531,0.4465469,0.19836438,1
24.924402236938477,0.4890092,0.20013636,1
15.562572479248049,0.56849134,0.26894376,1
17.581554412841797,0.47550777,0.24205205,1
32.42283248901367,0.57039833,0.3443721,1
40.871917724609375,0.59735715,0.38452,1
32.66034698486328,0.574576,0.2981405,1
23.738391876220703,0.54407173,0.30726835,1
15.288080215454102,0.62363064,0.395267,1
20.940994262695312,0.5525761,0.28243864,1
20.044126510620117,0.6145404,0.40842092,1
16.72872543334961,0.5361962,0.26699534,1
15.23525047302246,0.5459862,0.33161536,1
22.2545223236084,0.6258069,0.39915597,1
23.53446388244629,0.5625463,0.27512425,1
18.089820861816406,0.58435166,0.37042075,1
15.020994186401367,0.461475,0.27211648,1
15.526503562927246,0.55242836,0.26488912,1
16.789695739746094,0.50439996,0.2846426,1
16.08522605895996,0.62108606,0.29514092,1
15.7880859375,0.5047332,0.23747426,1
13.392416000366213,0.53699255,0.23381704,1
20.440776824951172,0.66728115,0.33190635,1
23.15891456604004,0.5067856,0.2585166,1
27.735767364501953,0.64927083,0.41757795,1
23.564735412597656,0.44234318,0.20827395,1
16.599252700805664,0.6869587,0.44970182,1
15.87583827972412,0.43664294,0.1923487,1
21.842491149902344,0.6862139,0.48221835,1
23.69183349609375,0.6869744,0.4049561,1
25.347326278686523,0.59930503,0.30467743,1
19.619977951049805,0.45771742,0.1844028,1
32.097084045410156,0.6796928,0.40199324,1
14.084823608398438,0.41278866,0.18014868,1
16.31633758544922,0.59804726,0.29308867,1
31.984142303466797,0.66703475,0.41077405,1
14.88291358947754,0.3824095,0.1757135,1
24.935161590576172,0.5278765,0.2522846,1
15.511835098266602,0.64690727,0.42550042,1
16.081199645996094,0.63189185,0.41475752,1
24.038379669189453,0.52244717,0.23869434,1
14.891434669494627,0.36956853,0.16079025,1
15.545196533203123,0.49915385,0.23681647,1
19.02548599243164,0.6521596,0.4152487,1
15.863463401794434,0.46051994,0.22176668,1
14.409347534179688,0.68939716,0.5009291,1
20.40985870361328,0.53251326,0.28837636,1
17.951332092285156,0.50766677,0.23104209,1
