identity,image_name,det_score,scale_used
Zendaya,Zendaya_001.jpg,0.9880554676055908,1
Zendaya,Zendaya_002.jpg,0.9986764788627625,1
Zendaya,Zendaya_003.jpg,0.9992603063583374,1
Zendaya,Zendaya_004.jpg,0.0,0
Zendaya,Zendaya_005.jpg,0.0,0
Elon_Musk,Elon_Musk_001.jpg,0.0,0
Elon_Musk,Elon_Musk_002.jpg,0.0,0
Elon_Musk,Elon_Musk_003.jpg,0.9984956383705139,1
Elon_Musk,Elon_Musk_004.jpg,0.9946515560150146,1
Elon_Musk,Elon_Musk_005.jpg,0.9832569360733032,1
Zac_Efron,Zac_Efron_005.jpg,0.0,0
Zac_Efron,Zac_Efron_004.jpg,0.9987190961837769,1
Zac_Efron,Zac_Efron_001.jpg,0.9974497556686401,1
Zac_Efron,Zac_Efron_003.jpg,0.9994260668754578,1
Zac_Efron,Zac_Efron_002.jpg,0.9592748284339905,1
Krysten_Ritter,Krysten_Ritter_001.jpg,0.9940187931060791,1
Krysten_Ritter,Krysten_Ritter_003.jpg,0.0,0
Krysten_Ritter,Krysten_Ritter_002.jpg,0.9939993023872375,1
Krysten_Ritter,Krysten_Ritter_005.jpg,0.9981139898300171,1
Krysten_Ritter,Krysten_Ritter_004.jpg,0.9975228309631348,1
Chris_Evans,Chris_Evans_001.jpg,0.0,0
Chris_Evans,Chris_Evans_003.jpg,0.9950821995735168,1
Chris_Evans,Chris_Evans_002.jpg,0.0,0
Chris_Evans,Chris_Evans_005.jpg,0.0,0
Chris_Evans,Chris_Evans_004.jpg,0.0,0
Zoe_Saldana,Zoe_Saldana_001.jpg,0.0,0
Zoe_Saldana,Zoe_Saldana_003.jpg,0.9989303946495056,1
Zoe_Saldana,Zoe_Saldana_002.jpg,0.9981811046600342,1
Zoe_Saldana,Zoe_Saldana_005.jpg,0.9989767670631409,1
Zoe_Saldana,Zoe_Saldana_004.jpg,0.9988155961036682,1
Barbara_Palvin,Barbara_Palvin_004.jpg,0.9925053119659424,1
Barbara_Palvin,Barbara_Palvin_005.jpg,0.9988435506820679,1
Barbara_Palvin,Barbara_Palvin_001.jpg,0.0,0
Barbara_Palvin,Barbara_Palvin_002.jpg,0.0,0
Barbara_Palvin,Barbara_Palvin_003.jpg,0.0,0
Cristiano_Ronaldo,Cristiano_Ronaldo_005.jpg,0.9987513422966003,1
Cristiano_Ronaldo,Cristiano_Ronaldo_004.jpg,0.9934933185577393,1
Cristiano_Ronaldo,Cristiano_Ronaldo_003.jpg,0.9980740547180176,1
Cristiano_Ronaldo,Cristiano_Ronaldo_002.jpg,0.9991334676742554,1
Cristiano_Ronaldo,Cristiano_Ronaldo_001.jpg,0.9947202801704407,1
Anne_Hathaway,Anne_Hathaway_003.jpg,0.0,0
Anne_Hathaway,Anne_Hathaway_002.jpg,0.0,0
Anne_Hathaway,Anne_Hathaway_001.jpg,0.9938694834709167,1
Anne_Hathaway,Anne_Hathaway_005.jpg,0.9262626767158508,3
Anne_Hathaway,Anne_Hathaway_004.jpg,0.0,0
Madelaine_Petsch,Madelaine_Petsch_005.jpg,0.9958556294441223,1
Madelaine_Petsch,Madelaine_Petsch_004.jpg,0.9977984428405762,1
Madelaine_Petsch,Madelaine_Petsch_001.jpg,0.9960497617721558,1
Madelaine_Petsch,Madelaine_Petsch_003.jpg,0.9996356964111328,1
Madelaine_Petsch,Madelaine_Petsch_002.jpg,0.9990091323852539,1
Josh_Radnor,Josh_Radnor_003.jpg,0.9963167905807495,1
Josh_Radnor,Josh_Radnor_002.jpg,0.998858630657196,1
Josh_Radnor,Josh_Radnor_001.jpg,0.9963436126708984,1
Josh_Radnor,Josh_Radnor_005.jpg,0.9977346658706665,1
Josh_Radnor,Josh_Radnor_004.jpg,0.999226987361908,1
Barack_Obama,Barack_Obama_005.jpg,0.995462954044342,1
Barack_Obama,Barack_Obama_004.jpg,0.0,0
Barack_Obama,Barack_Obama_001.jpg,0.0,0
Barack_Obama,Barack_Obama_003.jpg,0.9987211227416992,1
Barack_Obama,Barack_Obama_002.jpg,0.9811619520187378,1
Robert_De_Niro,Robert_De_Niro_002.jpg,0.993953287601471,1
Robert_De_Niro,Robert_De_Niro_003.jpg,0.9250181913375854,1
Robert_De_Niro,Robert_De_Niro_001.jpg,0.0,0
Robert_De_Niro,Robert_De_Niro_004.jpg,0.0,0
Robert_De_Niro,Robert_De_Niro_005.jpg,0.981839656829834,1
Nadia_Hilker,Nadia_Hilker_005.jpg,0.9117590188980103,1
Nadia_Hilker,Nadia_Hilker_004.jpg,0.0,0
Nadia_Hilker,Nadia_Hilker_001.jpg,0.9971411228179932,1
Nadia_Hilker,Nadia_Hilker_003.jpg,0.9407094120979309,1
Nadia_Hilker,Nadia_Hilker_002.jpg,0.0,0
Tom_Holland,Tom_Holland_001.jpg,0.9852748513221741,1
Tom_Holland,Tom_Holland_003.jpg,0.9986664056777954,1
Tom_Holland,Tom_Holland_002.jpg,0.9991408586502075,1
Tom_Holland,Tom_Holland_005.jpg,0.9958847761154175,1
Tom_Holland,Tom_Holland_004.jpg,0.9961994886398315,1
Tom_Ellis,Tom_Ellis_003.jpg,0.9980164766311646,1
Tom_Ellis,Tom_Ellis_002.jpg,0.9777191877365112,1
Tom_Ellis,Tom_Ellis_001.jpg,0.0,0
Tom_Ellis,Tom_Ellis_005.jpg,0.9920656681060791,1
Tom_Ellis,Tom_Ellis_004.jpg,0.9990687370300293,1
Natalie_Portman,Natalie_Portman_004.jpg,0.9993168115615845,1
Natalie_Portman,Natalie_Portman_005.jpg,0.9836908578872681,1
Natalie_Portman,Natalie_Portman_001.jpg,0.9988753199577332,1
Natalie_Portman,Natalie_Portman_002.jpg,0.9986795783042908,1
Natalie_Portman,Natalie_Portman_003.jpg,0.0,0
Jeff_Bezos,Jeff_Bezos_001.jpg,0.0,0
Jeff_Bezos,Jeff_Bezos_002.jpg,0.0,0
Jeff_Bezos,Jeff_Bezos_003.jpg,0.0,0
Jeff_Bezos,Jeff_Bezos_004.jpg,0.9951794743537903,1
Jeff_Bezos,Jeff_Bezos_005.jpg,0.0,0
Alycia_Dabnem_Carey,Alycia_Dabnem_Carey_005.jpg,0.0,0
Alycia_Dabnem_Carey,Alycia_Dabnem_Carey_004.jpg,0.9990706443786621,1
