unknown_identity,closest_match,quality_score,best_similarity,second_similarity,margin,label,svm_decision,confidence_score,final_decision
Stefano_Gabbana,Pervez_Musharraf,35.787742614746094,0.21897319,0.19286297,0.026110217,0,0,0.02372953090458215,REJECT
Stefano_Gabbana,Pervez_Musharraf,19.389026641845703,0.21319962,0.19024275,0.022956863,0,0,0.0032153289677219004,REJECT
Stefano_Gabbana,Pervez_Musharraf,32.406471252441406,0.21641544,0.19865842,0.017757013,0,0,0.01687687425507157,REJECT
Stefano_Gabbana,Pervez_Musharraf,15.262702941894531,0.23002467,0.17221606,0.057808608,0,0,0.0029339921281638665,REJECT
Kevin_Nealon,Junichiro_Koizumi,14.295137405395508,0.18046367,0.14905089,0.03141278,0,0,0.0024141914210391857,REJECT
Kevin_Nealon,Luiz_Inacio_Lula_da_Silva,15.45114040374756,0.16224746,0.159325,0.0029224604,0,0,0.0026270314420176687,REJECT
Kevin_Nealon,Junichiro_Koizumi,13.64519500732422,0.19058605,0.16871256,0.021873489,0,0,0.002466693325179008,REJECT
Kevin_Nealon,Junichiro_Koizumi,15.629776000976562,0.18670745,0.14820188,0.03850557,0,0,0.002299207521043397,REJECT
Malak_Habbak,James_Blake,22.430564880371097,0.21894737,0.20318884,0.01575853,0,0,0.0054223113455924435,REJECT
Malak_Habbak,Junichiro_Koizumi,14.853912353515623,0.19255716,0.17762932,0.014927834,0,0,0.0021513491120917177,REJECT
Malak_Habbak,Spencer_Abraham,20.666183471679688,0.19151464,0.18300304,0.008511603,0,0,0.004388125341602056,REJECT
Malak_Habbak,Winona_Ryder,31.08942985534668,0.19373885,0.19093177,0.0028070807,0,0,0.018394881300551218,REJECT
Billy_Graham,Nicole_Kidman,22.297683715820312,0.17424187,0.17280588,0.0014359951,0,0,0.007250053469651561,REJECT
Billy_Graham,Sergio_Vieira_De_Mello,37.65030670166016,0.17010584,0.15286824,0.017237604,0,0,0.04351142635964871,REJECT
Billy_Graham,Megawati_Sukarnoputri,15.725481033325195,0.17284676,0.1715147,0.0013320595,0,0,0.0024075040472285323,REJECT
Billy_Graham,Walter_Mondale,21.52193069458008,0.25416192,0.1895459,0.064616024,0,0,0.007092448930002936,REJECT
Billy_Graham,Walter_Mondale,31.68582534790039,0.30251768,0.17940009,0.123117596,0,0,0.044279274205914515,REJECT
Billy_Graham,Walter_Mondale,31.244836807250977,0.1603625,0.15131265,0.009049848,0,0,0.025632220943046465,REJECT
Billy_Graham,Walter_Mondale,14.962133407592772,0.23347479,0.17155443,0.06192036,0,0,0.0031849733076355206,REJECT
Billy_Graham,Walter_Mondale,18.85599899291992,0.27991256,0.17751622,0.10239634,0,0,0.013979936679879484,REJECT
Betty_Garrison,Jennifer_Aniston,22.873878479003903,0.17583682,0.15156356,0.024273261,0,0,0.007650880498596879,REJECT
Betty_Garrison,Jennifer_Aniston,14.942481994628906,0.17409387,0.16537559,0.008718282,0,0,0.0023641391179230788,REJECT
Betty_Garrison,Michael_Jackson,23.788631439208984,0.1595982,0.13200791,0.02759029,0,0,0.010616357650303533,REJECT
Betty_Garrison,Jennifer_Aniston,29.93395233154297,0.17418304,0.15616153,0.018021509,0,0,0.019242736397022748,REJECT
Chip_Burrus,Sergio_Vieira_De_Mello,16.19352149963379,0.23571326,0.17977645,0.055936813,0,0,0.003051435925292095,REJECT
Chip_Burrus,Sergio_Vieira_De_Mello,18.25020980834961,0.2144725,0.1933997,0.021072805,0,0,0.0026475165697721157,REJECT
Chip_Burrus,Junichiro_Koizumi,15.927873611450195,0.22875166,0.20444125,0.02431041,0,0,0.002242518653131142,REJECT
Chip_Burrus,Tiger_Woods,14.279175758361816,0.19445848,0.17058256,0.023875922,0,0,0.002268508127732342,REJECT
Bob_Petrino,George_Robertson,23.60027313232422,0.28390044,0.19236743,0.091533005,0,0,0.01640070922618195,REJECT
Bob_Petrino,George_Robertson,15.046666145324709,0.24249873,0.17589515,0.06660357,0,0,0.003685963678970278,REJECT
Bob_Petrino,George_Robertson,16.529056549072266,0.27527002,0.15993229,0.11533773,0,0,0.01401225483006181,REJECT
Bob_Petrino,George_Robertson,32.730918884277344,0.26836175,0.15405151,0.114310235,0,0,0.029027308074417252,REJECT
Chen_Kaige,Hans_Blix,15.097576141357422,0.21941975,0.17220166,0.047218084,0,0,0.0025054306441051792,REJECT
Chen_Kaige,Hans_Blix,16.879337310791016,0.22383064,0.21897076,0.0048598796,0,0,0.0021456083568316036,REJECT
Chen_Kaige,Saddam_Hussein,15.329666137695312,0.20828043,0.17322767,0.03505276,0,0,0.002226805437799121,REJECT
Chen_Kaige,Saddam_Hussein,17.292709350585938,0.23739484,0.20697045,0.030424386,0,0,0.002665530258881495,REJECT
Mario_Lemieux,Jennifer_Garner,29.38728141784668,0.20683713,0.1760233,0.030813828,0,0,0.013586880013511604,REJECT
Mario_Lemieux,George_Robertson,24.56319808959961,0.21152818,0.19614959,0.015378594,0,0,0.007830382402522837,REJECT
Mario_Lemieux,Jennifer_Garner,14.66148853302002,0.20380303,0.18380305,0.01999998,0,0,0.0021477711304443365,REJECT
Mario_Lemieux,Jennifer_Garner,20.009267807006836,0.21361688,0.18086305,0.032753825,0,0,0.003725419645689315,REJECT
Pharrell_Williams,Megawati_Sukarnoputri,15.80672836303711,0.20589888,0.18751833,0.018380553,0,0,0.002086902849932543,REJECT
Pharrell_Williams,Junichiro_Koizumi,27.2959041595459,0.21346635,0.19498608,0.018480271,0,0,0.010779244270970894,REJECT
Pharrell_Williams,Junichiro_Koizumi,18.730918884277344,0.21541074,0.16927654,0.046134204,0,0,0.0032336124822256486,REJECT
Pharrell_Williams,Junichiro_Koizumi,26.83516311645508,0.21438453,0.16223742,0.052147105,0,0,0.010582915924453951,REJECT
Imad_Moustapha,Amelie_Mauresmo,20.45566177368164,0.17331778,0.13773765,0.03558013,0,0,0.004815813465597214,REJECT
Imad_Moustapha,Amelie_Mauresmo,35.88510513305664,0.16365573,0.15976128,0.0038944483,0,0,0.037764509094723224,REJECT
Imad_Moustapha,Angelina_Jolie,31.454566955566406,0.147125,0.13230391,0.014821097,0,0,0.02976063288126582,REJECT
Imad_Moustapha,Amelie_Mauresmo,35.14694595336914,0.1470387,0.14606465,0.0009740442,0,0,0.04205117061129128,REJECT
Imad_Moustapha,Angelina_Jolie,17.771154403686523,0.13716133,0.13628145,0.00087988377,0,0,0.0044658650604971865,REJECT
Imad_Moustapha,Spencer_Abraham,15.649395942687988,0.13686782,0.1328707,0.0039971173,0,0,0.0035483725183321174,REJECT
Imad_Moustapha,Luiz_Inacio_Lula_da_Silva,39.61336135864258,0.1318464,0.12674598,0.005100414,0,0,0.08450966987353557,REJECT
Imad_Moustapha,Jennifer_Aniston,21.452075958251953,0.13494602,0.13063364,0.004312381,0,0,0.009822140982803587,REJECT
Stephen_Thompson,Ann_Veneman,28.74939727783203,0.24889407,0.21889517,0.029998899,0,0,0.011096486080771519,REJECT
Stephen_Thompson,Spencer_Abraham,18.973989486694336,0.22974494,0.22348803,0.006256908,0,0,0.002851329459693653,REJECT
Stephen_Thompson,Spencer_Abraham,15.753433227539062,0.22525348,0.1887197,0.036533773,0,0,0.0023740307953697597,REJECT
