quality_score,det_score,best_similarity,second_best_similarity,margin,true_identity,predicted_identity,label
27.075550079345703,0.0,0.5740582,0.16077985,0.41327834,Salma_Hayek,Salma_Hayek,1
15.175558090209961,0.0,0.44381028,0.21653444,0.22727585,Salma_Hayek,Salma_Hayek,1
20.051986694335938,0.0,0.5058117,0.18997052,0.31584117,Salma_Hayek,Salma_Hayek,1
16.64642906188965,0.0,0.3737293,0.2984612,0.07526809,Salma_Hayek,Salma_Hayek,1
19.913543701171875,0.0,0.53730005,0.18435887,0.3529412,Salma_Hayek,Salma_Hayek,1
15.088590621948242,0.0,0.3341771,0.2513224,0.08285472,Salma_Hayek,Salma_Hayek,1
19.53980255126953,0.0,0.75820965,0.17965002,0.57855964,Salma_Hayek,Salma_Hayek,1
30.68170166015625,0.0,0.41314083,0.31322676,0.099914074,Salma_Hayek,Salma_Hayek,1
21.923715591430664,0.0,0.39978856,0.28296426,0.1168243,Salma_Hayek,Salma_Hayek,1
14.86233139038086,0.0,0.7151052,0.17170721,0.54339796,Salma_Hayek,Salma_Hayek,1
27.620189666748047,0.0,0.7836943,0.158813,0.6248813,Salma_Hayek,Salma_Hayek,1
18.302284240722656,0.0,0.6780753,0.19116166,0.48691365,Salma_Hayek,Salma_Hayek,1
33.891448974609375,0.0,0.6868405,0.2720467,0.4147938,Queen_Elizabeth_II,Queen_Elizabeth_II,1
18.02718734741211,0.0,0.5698362,0.20669883,0.36313736,Queen_Elizabeth_II,Queen_Elizabeth_II,1
38.143150329589844,0.0,0.6309185,0.25449607,0.37642244,Queen_Elizabeth_II,Queen_Elizabeth_II,1
16.729001998901367,0.0,0.6826717,0.24968328,0.43298846,Queen_Elizabeth_II,Queen_Elizabeth_II,1
26.100629806518555,0.0,0.69456077,0.18738022,0.5071806,Queen_Elizabeth_II,Queen_Elizabeth_II,1
29.422237396240234,0.0,0.6019857,0.23631483,0.36567086,Queen_Elizabeth_II,Queen_Elizabeth_II,1
28.763671875,0.0,0.6478992,0.2283661,0.4195331,Queen_Elizabeth_II,Queen_Elizabeth_II,1
17.529878616333008,0.0,0.707022,0.18502952,0.5219925,Queen_Elizabeth_II,Queen_Elizabeth_II,1
27.594482421875,0.0,0.76172376,0.26462215,0.4971016,Queen_Elizabeth_II,Queen_Elizabeth_II,1
13.637426376342773,0.0,0.664157,0.16974187,0.4944151,Queen_Elizabeth_II,Queen_Elizabeth_II,1
42.541175842285156,0.0,0.78408873,0.27314544,0.5109433,Queen_Elizabeth_II,Queen_Elizabeth_II,1
23.248443603515625,0.0,0.64436704,0.20073257,0.44363445,Queen_Elizabeth_II,Queen_Elizabeth_II,1
21.490367889404297,0.0,0.6607424,0.28637588,0.37436652,Jacques_Rogge,Jacques_Rogge,1
20.340843200683594,0.0,0.6156136,0.27733484,0.33827874,Jacques_Rogge,Jacques_Rogge,1
14.84856128692627,0.0,0.63734657,0.28073433,0.35661224,Jacques_Rogge,Jacques_Rogge,1
21.71518325805664,0.0,0.7295383,0.27274135,0.45679697,Jacques_Rogge,Jacques_Rogge,1
23.055866241455078,0.0,0.6863612,0.30621603,0.38014516,Jacques_Rogge,Jacques_Rogge,1
21.922481536865234,0.0,0.6013912,0.2638818,0.3375094,Jacques_Rogge,Jacques_Rogge,1
37.08992004394531,0.0,0.6618577,0.30223387,0.35962385,Jacques_Rogge,Jacques_Rogge,1
37.12599182128906,0.0,0.7268878,0.29331508,0.43357274,Jacques_Rogge,Jacques_Rogge,1
16.366384506225586,0.0,0.4843289,0.25873727,0.22559163,Andy_Roddick,Andy_Roddick,1
16.39078140258789,0.0,0.57028276,0.2737342,0.29654855,Andy_Roddick,Andy_Roddick,1
14.028985977172852,0.0,0.5273673,0.2647586,0.2626087,Andy_Roddick,Andy_Roddick,1
23.092077255249023,0.0,0.4952412,0.24828468,0.24695651,Andy_Roddick,Andy_Roddick,1
