unknown_identity,closest_match,quality_score,best_similarity,second_similarity,margin,label
Stefano_Gabbana,Pervez_Musharraf,35.787742614746094,0.21897319,0.19286297,0.026110217,0
Stefano_Gabbana,Pervez_Musharraf,19.389026641845703,0.21319962,0.19024275,0.022956863,0
Stefano_Gabbana,Pervez_Musharraf,32.406471252441406,0.21641544,0.19865842,0.017757013,0
Stefano_Gabbana,Pervez_Musharraf,15.262702941894531,0.23002467,0.17221606,0.057808608,0
Kevin_Nealon,Junichiro_Koizumi,14.295137405395508,0.18046367,0.14905089,0.03141278,0
Kevin_Nealon,Luiz_Inacio_Lula_da_Silva,15.451140403747559,0.16224746,0.159325,0.0029224604,0
Kevin_Nealon,Junichiro_Koizumi,13.645195007324219,0.19058605,0.16871256,0.021873489,0
Kevin_Nealon,Junichiro_Koizumi,15.629776000976562,0.18670745,0.14820188,0.03850557,0
Malak_Habbak,James_Blake,22.430564880371094,0.21894737,0.20318884,0.01575853,0
Malak_Habbak,Junichiro_Koizumi,14.853912353515625,0.19255716,0.17762932,0.014927834,0
Malak_Habbak,Spencer_Abraham,20.666183471679688,0.19151464,0.18300304,0.008511603,0
Malak_Habbak,Winona_Ryder,31.08942985534668,0.19373885,0.19093177,0.0028070807,0
Billy_Graham,Nicole_Kidman,22.297683715820312,0.17424187,0.17280588,0.0014359951,0
Billy_Graham,Sergio_Vieira_De_Mello,37.650306701660156,0.17010584,0.15286824,0.017237604,0
Billy_Graham,Megawati_Sukarnoputri,15.725481033325195,0.17284676,0.1715147,0.0013320595,0
Billy_Graham,Walter_Mondale,21.521930694580078,0.25416192,0.1895459,0.064616024,0
Billy_Graham,Walter_Mondale,31.68582534790039,0.30251768,0.17940009,0.123117596,0
Billy_Graham,Walter_Mondale,31.244836807250977,0.1603625,0.15131265,0.009049848,0
Billy_Graham,Walter_Mondale,14.962133407592773,0.23347479,0.17155443,0.06192036,0
Billy_Graham,Walter_Mondale,18.855998992919922,0.27991256,0.17751622,0.10239634,0
Betty_Garrison,Jennifer_Aniston,22.873878479003906,0.17583682,0.15156356,0.024273261,0
Betty_Garrison,Jennifer_Aniston,14.942481994628906,0.17409387,0.16537559,0.008718282,0
Betty_Garrison,Michael_Jackson,23.788631439208984,0.1595982,0.13200791,0.02759029,0
Betty_Garrison,Jennifer_Aniston,29.93395233154297,0.17418304,0.15616153,0.018021509,0
Chip_Burrus,Sergio_Vieira_De_Mello,16.19352149963379,0.23571326,0.17977645,0.055936813,0
Chip_Burrus,Sergio_Vieira_De_Mello,18.25020980834961,0.2144725,0.1933997,0.021072805,0
Chip_Burrus,Junichiro_Koizumi,15.927873611450195,0.22875166,0.20444125,0.02431041,0
Chip_Burrus,Tiger_Woods,14.279175758361816,0.19445848,0.17058256,0.023875922,0
Bob_Petrino,George_Robertson,23.60027313232422,0.28390044,0.19236743,0.091533005,0
Bob_Petrino,George_Robertson,15.046666145324707,0.24249873,0.17589515,0.06660357,0
Bob_Petrino,George_Robertson,16.529056549072266,0.27527002,0.15993229,0.11533773,0
Bob_Petrino,George_Robertson,32.730918884277344,0.26836175,0.15405151,0.114310235,0
Chen_Kaige,Hans_Blix,15.097576141357422,0.21941975,0.17220166,0.047218084,0
Chen_Kaige,Hans_Blix,16.879337310791016,0.22383064,0.21897076,0.0048598796,0
Chen_Kaige,Saddam_Hussein,15.329666137695312,0.20828043,0.17322767,0.03505276,0
Chen_Kaige,Saddam_Hussein,17.292709350585938,0.23739484,0.20697045,0.030424386,0
Mario_Lemieux,Jennifer_Garner,29.38728141784668,0.20683713,0.1760233,0.030813828,0
Mario_Lemieux,George_Robertson,24.56319808959961,0.21152818,0.19614959,0.015378594,0
Mario_Lemieux,Jennifer_Garner,14.66148853302002,0.20380303,0.18380305,0.01999998,0
Mario_Lemieux,Jennifer_Garner,20.009267807006836,0.21361688,0.18086305,0.032753825,0
Pharrell_Williams,Megawati_Sukarnoputri,15.80672836303711,0.20589888,0.18751833,0.018380553,0
Pharrell_Williams,Junichiro_Koizumi,27.2959041595459,0.21346635,0.19498608,0.018480271,0
Pharrell_Williams,Junichiro_Koizumi,18.730918884277344,0.21541074,0.16927654,0.046134204,0
Pharrell_Williams,Junichiro_Koizumi,26.835163116455078,0.21438453,0.16223742,0.052147105,0
Imad_Moustapha,Amelie_Mauresmo,20.45566177368164,0.17331778,0.13773765,0.03558013,0
Imad_Moustapha,Amelie_Mauresmo,35.88510513305664,0.16365573,0.15976128,0.0038944483,0
Imad_Moustapha,Angelina_Jolie,31.454566955566406,0.147125,0.13230391,0.014821097,0
Imad_Moustapha,Amelie_Mauresmo,35.14694595336914,0.1470387,0.14606465,0.0009740442,0
Imad_Moustapha,Angelina_Jolie,17.771154403686523,0.13716133,0.13628145,0.00087988377,0
Imad_Moustapha,Spencer_Abraham,15.649395942687988,0.13686782,0.1328707,0.0039971173,0
Imad_Moustapha,Luiz_Inacio_Lula_da_Silva,39.61336135864258,0.1318464,0.12674598,0.005100414,0
Imad_Moustapha,Jennifer_Aniston,21.452075958251953,0.13494602,0.13063364,0.004312381,0
Stephen_Thompson,Ann_Veneman,28.74939727783203,0.24889407,0.21889517,0.029998899,0
Stephen_Thompson,Spencer_Abraham,18.973989486694336,0.22974494,0.22348803,0.006256908,0
Stephen_Thompson,Spencer_Abraham,15.753433227539062,0.22525348,0.1887197,0.036533773,0
Stephen_Thompson,Spencer_Abraham,23.427322387695312,0.22386749,0.17626816,0.04759933,0
Paul_Murphy,Hans_Blix,21.016830444335938,0.1991744,0.1847632,0.014411211,0
Paul_Murphy,Walter_Mondale,15.837921142578125,0.22534175,0.20848507,0.016856685,0
Paul_Murphy,Walter_Mondale,20.293365478515625,0.19788152,0.19224307,0.0056384504,0
Paul_Murphy,Walter_Mondale,17.342079162597656,0.21568169,0.20944753,0.006234154,0
Michael_Piuze,Anna_Kournikova,14.390621185302734,0.15909034,0.15186131,0.00722903,0
Michael_Piuze,Luiz_Inacio_Lula_da_Silva,16.241527557373047,0.20667574,0.16965531,0.03702043,0
Michael_Piuze,Anna_Kournikova,14.891073226928711,0.19307119,0.18380024,0.009270951,0
Michael_Piuze,Anna_Kournikova,21.776460647583008,0.20669372,0.19340038,0.013293341,0
S_Jayakumar,Tiger_Woods,24.511856079101562,0.22008464,0.20180756,0.018277079,0
S_Jayakumar,Tiger_Woods,19.109172821044922,0.21319465,0.18770003,0.02549462,0
S_Jayakumar,Tiger_Woods,19.91129493713379,0.17660813,0.1593514,0.017256737,0
S_Jayakumar,Sergio_Vieira_De_Mello,15.075396537780762,0.26655054,0.21218711,0.05436343,0
S_Jayakumar,Tiger_Woods,16.23981285095215,0.21559815,0.17303862,0.042559534,0
S_Jayakumar,Sergio_Vieira_De_Mello,16.19855499267578,0.2669693,0.21925774,0.04771155,0
S_Jayakumar,Sergio_Vieira_De_Mello,20.859851837158203,0.27049074,0.20214562,0.068345115,0
S_Jayakumar,Sergio_Vieira_De_Mello,20.07269859313965,0.2573377,0.23805873,0.019278958,0
Phil_Bredesen,Hans_Blix,27.398162841796875,0.19591962,0.19134995,0.0045696646,0
Phil_Bredesen,Hans_Blix,19.798500061035156,0.2056075,0.17247808,0.033129424,0
Phil_Bredesen,Hans_Blix,23.0858097076416,0.17901655,0.17337736,0.0056391805,0
Phil_Bredesen,Hans_Blix,15.783212661743164,0.20163938,0.19477549,0.006863892,0
Bob_Beauprez,Hans_Blix,33.47160339355469,0.23019633,0.21925016,0.0109461695,0
