quality_score,best_similarity,margin,label,true_identity,gallery_identity
18.735458374023438,0.11397727,-0.25864714,1,Al_Gore,Al_Gore
18.735458374023438,0.3726244,0.07059169,0,Al_Gore,Hugh_Grant
19.31195068359375,0.14874865,-0.17483418,1,Al_Sharpton,Al_Sharpton
19.31195068359375,0.32358283,0.05861634,0,Al_Sharpton,Hugh_Grant
29.09117317199707,0.16972318,-0.076010376,1,Alastair_Campbell,Alastair_Campbell
29.09117317199707,0.24573356,0.062182844,0,Alastair_Campbell,Xanana_Gusmao
22.717342376708984,0.19528072,-0.12958534,1,Albert_Costa,Albert_Costa
22.717342376708984,0.32486606,0.010844231,0,Albert_Costa,Susan_Sarandon
20.229534149169922,0.049312845,-0.27164167,1,Alejandro_Toledo,Alejandro_Toledo
20.229534149169922,0.3209545,0.02704069,0,Alejandro_Toledo,Hugh_Grant
22.10971450805664,0.012285774,-0.32063887,1,Ali_Naimi,Ali_Naimi
22.10971450805664,0.33292463,0.10227892,0,Ali_Naimi,Xanana_Gusmao
19.857986450195312,0.18374881,-0.022184044,1,Allyson_Felix,Allyson_Felix
19.857986450195312,0.20593286,0.037224248,0,Allyson_Felix,Sophia_Loren
22.06250762939453,0.05046316,-0.16779616,1,Amelia_Vega,Amelia_Vega
22.06250762939453,0.21825932,0.00885202,0,Amelia_Vega,Hugh_Grant
24.05206871032715,0.07725988,-0.16833764,1,Ana_Guevara,Ana_Guevara
24.05206871032715,0.24559753,0.0025280416,0,Ana_Guevara,Hugh_Grant
21.834575653076172,0.1476923,-0.11657578,1,Ana_Palacio,Ana_Palacio
21.834575653076172,0.26426807,0.0063369274,0,Ana_Palacio,Hugh_Grant
21.488140106201172,0.10635048,-0.13095015,1,Angela_Merkel,Angela_Merkel
21.488140106201172,0.23730063,0.013808399,0,Angela_Merkel,Charles_Taylor
23.774877548217773,0.047569994,-0.2353518,1,Antonio_Palocci,Antonio_Palocci
23.774877548217773,0.2829218,0.03941898,0,Antonio_Palocci,Vaclav_Havel
23.845298767089844,0.075449996,-0.26400486,1,Arnoldo_Aleman,Arnoldo_Aleman
23.845298767089844,0.33945486,0.04621634,0,Arnoldo_Aleman,Hugh_Grant
20.750768661499023,0.13148046,-0.12100276,1,Ashanti,Ashanti
20.750768661499023,0.25248322,0.06965764,0,Ashanti,Hugh_Grant
24.974506378173828,0.10658708,-0.1742765,1,Ben_Affleck,Ben_Affleck
24.974506378173828,0.28086358,0.020008296,0,Ben_Affleck,Xanana_Gusmao
27.118858337402344,0.1867864,-0.011476174,1,Benjamin_Netanyahu,Benjamin_Netanyahu
27.118858337402344,0.19826257,0.0100470185,0,Benjamin_Netanyahu,Susan_Sarandon
22.325908660888672,0.2171016,-0.08549681,1,Bernard_Law,Bernard_Law
22.325908660888672,0.30259842,0.03210044,0,Bernard_Law,Hugh_Grant
28.602495193481445,0.073664114,-0.18806617,1,Billy_Crystal,Billy_Crystal
28.602495193481445,0.26173028,0.053638563,0,Billy_Crystal,Susan_Sarandon
28.341873168945312,0.15555102,-0.11570513,1,Binyamin_Ben-Eliezer,Binyamin_Ben-Eliezer
28.341873168945312,0.27125615,0.0162462,0,Binyamin_Ben-Eliezer,Hugh_Grant
23.45340919494629,0.06287585,-0.3712548,1,Bob_Graham,Bob_Graham
23.45340919494629,0.43413067,0.1573695,0,Bob_Graham,Hugh_Grant
21.533069610595703,0.09458904,-0.26506627,1,Brad_Johnson,Brad_Johnson
21.533069610595703,0.35965532,0.114958525,0,Brad_Johnson,Martin_McGuinness
22.6982364654541,-0.0005501136,-0.2104415,1,Britney_Spears,Britney_Spears
22.6982364654541,0.20989138,0.017785251,0,Britney_Spears,Jan_Ullrich
21.401512145996094,0.12318081,-0.11864646,1,Calista_Flockhart,Calista_Flockhart
21.401512145996094,0.24182726,0.022010565,0,Calista_Flockhart,Hugh_Grant
