unknown_identity,closest_match,quality_score,best_similarity,second_similarity,margin,label,svm_decision,confidence_score,final_decision
Stefano_Gabbana,Pervez_Musharraf,35.787742614746094,0.21897319,0.19286297,0.026110217,0,0,0.015943530600761598,REJECT
Stefano_Gabbana,Pervez_Musharraf,19.389026641845703,0.21319962,0.19024275,0.022956863,0,0,0.004110986425094112,REJECT
Stefano_Gabbana,Pervez_Musharraf,32.406471252441406,0.21641544,0.19865842,0.017757013,0,0,0.009387938180696408,REJECT
Stefano_Gabbana,Pervez_Musharraf,15.262702941894531,0.23002467,0.17221606,0.057808608,0,0,0.003936983418140294,REJECT
Kevin_Nealon,Junichiro_Koizumi,14.295137405395508,0.18046367,0.14905089,0.03141278,0,0,0.0030347326213779426,REJECT
Kevin_Nealon,Luiz_Inacio_Lula_da_Silva,15.45114040374756,0.16224746,0.159325,0.0029224604,0,0,0.0031404385957121755,REJECT
Kevin_Nealon,Junichiro_Koizumi,13.64519500732422,0.19058605,0.16871256,0.021873489,0,0,0.0030254100847504294,REJECT
Kevin_Nealon,Junichiro_Koizumi,15.629776000976562,0.18670745,0.14820188,0.03850557,0,0,0.0029646578882709666,REJECT
Malak_Habbak,James_Blake,22.430564880371097,0.21894737,0.20318884,0.01575853,0,0,0.006171572990814098,REJECT
Malak_Habbak,Junichiro_Koizumi,14.853912353515623,0.19255716,0.17762932,0.014927834,0,0,0.002635170940509193,REJECT
Malak_Habbak,Spencer_Abraham,20.666183471679688,0.19151464,0.18300304,0.008511603,0,0,0.0054411535666927515,REJECT
Malak_Habbak,Winona_Ryder,31.08942985534668,0.19373885,0.19093177,0.0028070807,0,0,0.010883095423367826,REJECT
Billy_Graham,Nicole_Kidman,22.297683715820312,0.17424187,0.17280588,0.0014359951,0,0,0.00828366565639013,REJECT
Billy_Graham,Sergio_Vieira_De_Mello,37.65030670166016,0.17010584,0.15286824,0.017237604,0,0,0.03454030192033695,REJECT
Billy_Graham,Megawati_Sukarnoputri,15.725481033325195,0.17284676,0.1715147,0.0013320595,0,0,0.002900206941225865,REJECT
Billy_Graham,Walter_Mondale,21.52193069458008,0.25416192,0.1895459,0.064616024,0,0,0.007845440857626338,REJECT
Billy_Graham,Walter_Mondale,31.68582534790039,0.30251768,0.17940009,0.123117596,0,0,0.013521906589003575,REJECT
Billy_Graham,Walter_Mondale,31.244836807250977,0.1603625,0.15131265,0.009049848,0,0,0.014586278597721552,REJECT
Billy_Graham,Walter_Mondale,14.962133407592772,0.23347479,0.17155443,0.06192036,0,0,0.0043151453686592674,REJECT
Billy_Graham,Walter_Mondale,18.85599899291992,0.27991256,0.17751622,0.10239634,0,0,0.017126840175535462,REJECT
Betty_Garrison,Jennifer_Aniston,22.873878479003903,0.17583682,0.15156356,0.024273261,0,0,0.008026598497333818,REJECT
Betty_Garrison,Jennifer_Aniston,14.942481994628906,0.17409387,0.16537559,0.008718282,0,0,0.0028464919163199423,REJECT
Betty_Garrison,Michael_Jackson,23.788631439208984,0.1595982,0.13200791,0.02759029,0,0,0.010017140870987146,REJECT
Betty_Garrison,Jennifer_Aniston,29.93395233154297,0.17418304,0.15616153,0.018021509,0,0,0.010735212424945621,REJECT
Chip_Burrus,Sergio_Vieira_De_Mello,16.19352149963379,0.23571326,0.17977645,0.055936813,0,0,0.004054430905028541,REJECT
Chip_Burrus,Sergio_Vieira_De_Mello,18.25020980834961,0.2144725,0.1933997,0.021072805,0,0,0.003409725003898268,REJECT
Chip_Burrus,Junichiro_Koizumi,15.927873611450195,0.22875166,0.20444125,0.02431041,0,0,0.0028367484806706804,REJECT
Chip_Burrus,Tiger_Woods,14.279175758361816,0.19445848,0.17058256,0.023875922,0,0,0.0028160087884287477,REJECT
Bob_Petrino,George_Robertson,23.60027313232422,0.28390044,0.19236743,0.091533005,0,0,0.013578274463460348,REJECT
Bob_Petrino,George_Robertson,15.046666145324709,0.24249873,0.17589515,0.06660357,0,0,0.00502708438420575,REJECT
