quality_score,best_similarity,margin,label,true_identity,predicted_identity
28.981422424316406,0.39651966,0.18454677,1,Zendaya,Zendaya
26.6669921875,0.54677606,0.2855556,1,Zendaya,Zendaya
36.40541458129883,0.3395698,0.1014186,1,Zendaya,Zendaya
38.9364128112793,0.5276813,0.34193152,1,Elon_Musk,Elon_Musk
43.493247985839844,0.45165023,0.27603167,1,Elon_Musk,Elon_Musk
42.22760772705078,0.41757077,0.2594105,1,Elon_Musk,Elon_Musk
38.91100311279297,0.4297492,0.22580735,1,Zac_Efron,Zac_Efron
43.82726287841797,0.28635955,0.022224844,1,Zac_Efron,Zac_Efron
39.73163604736328,0.37344366,0.15558206,1,Zac_Efron,Zac_Efron
40.7440299987793,0.53874767,0.3363194,1,Krysten_Ritter,Krysten_Ritter
35.33160400390625,0.5525655,0.28818652,1,Krysten_Ritter,Krysten_Ritter
38.57609558105469,0.32496265,0.043337017,0,Krysten_Ritter,Katherine_Langford
41.20709228515625,0.29912707,0.09933835,1,Chris_Evans,Chris_Evans
46.15338134765625,0.23249853,0.046996146,1,Chris_Evans,Chris_Evans
47.5568733215332,0.3139556,0.06309128,1,Chris_Evans,Chris_Evans
35.11053466796875,0.4581564,0.246993,1,Zoe_Saldana,Zoe_Saldana
44.64582824707031,0.4315529,0.20637026,1,Zoe_Saldana,Zoe_Saldana
30.339054107666016,0.34130168,0.17940238,1,Zoe_Saldana,Zoe_Saldana
33.99021911621094,0.4653408,0.20887661,1,Barbara_Palvin,Barbara_Palvin
37.387977600097656,0.44352666,0.1989364,1,Barbara_Palvin,Barbara_Palvin
42.749515533447266,0.3761378,0.16646838,1,Barbara_Palvin,Barbara_Palvin
43.96658706665039,0.5034521,0.25783348,1,Cristiano_Ronaldo,Cristiano_Ronaldo
35.034629821777344,0.5126496,0.22734493,1,Cristiano_Ronaldo,Cristiano_Ronaldo
39.509681701660156,0.5028566,0.27454984,1,Cristiano_Ronaldo,Cristiano_Ronaldo
45.61344909667969,0.40229672,0.14212283,1,Anne_Hathaway,Anne_Hathaway
37.270179748535156,0.5165318,0.27202505,1,Anne_Hathaway,Anne_Hathaway
